Ticker,Model,WindowEnd,Arm,Trail,Base_Sharpe,New_Sharpe,Delta_Sharpe,Base_Return,New_Return,Delta_Return,Base_MaxDD,New_MaxDD,Delta_MaxDD,Days_Held
IBM,LR,2022-01-01,trail_only,0.08,-0.059,0.209,0.268,-10.33,10.34,20.67,-41.87,-33.66,8.21,820
IBM,LR,2022-01-01,trail_only,0.12,-0.059,0.323,0.382,-10.33,22.7,33.03,-41.87,-31.23,10.64,837
IBM,LR,2022-01-01,trail_only,0.15,-0.059,0.446,0.505,-10.33,38.32,48.65,-41.87,-30.83,11.04,844
IBM,LR,2022-01-01,trail_only,0.2,-0.059,0.277,0.336,-10.33,17.54,27.87,-41.87,-32.9,8.97,844
IBM,RF,2022-01-01,buy_and_hold,,0.245,0.235,-0.01,14.38,12.65,-1.73,-33.31,-38.98,-5.67,857
IBM,RF,2022-01-01,trail_only,0.08,0.245,0.309,0.064,14.38,21.07,6.69,-33.31,-34.61,-1.3,833
IBM,RF,2022-01-01,trail_only,0.12,0.245,0.338,0.093,14.38,24.62,10.24,-33.31,-33.36,-0.05,845
IBM,RF,2022-01-01,trail_only,0.15,0.245,0.362,0.117,14.38,27.63,13.25,-33.31,-37.14,-3.83,849
IBM,RF,2022-01-01,trail_only,0.2,0.245,0.337,0.092,14.38,24.53,10.15,-33.31,-32.9,0.41,850
IBM,LR,2021-01-01,buy_and_hold,,-0.111,0.036,0.147,-10.4,-5.8,4.6,-29.69,-38.98,-9.29,731
IBM,LR,2021-01-01,trail_only,0.08,-0.111,0.089,0.2,-10.4,0.24,10.64,-29.69,-33.66,-3.97,692
IBM,LR,2021-01-01,trail_only,0.12,-0.111,0.149,0.26,-10.4,4.96,15.36,-29.69,-28.97,0.72,707
IBM,LR,2021-01-01,trail_only,0.15,-0.111,0.234,0.345,-10.4,12.36,22.76,-29.69,-28.55,1.14,711
IBM,LR,2021-01-01,trail_only,0.2,-0.111,0.126,0.237,-10.4,2.94,13.34,-29.69,-32.9,-3.21,714
IBM,RF,2021-01-01,buy_and_hold,,-0.439,0.036,0.475,-30.83,-5.8,25.03,-48.86,-38.98,9.88,731
IBM,RF,2021-01-01,trail_only,0.08,-0.439,0.141,0.58,-30.83,4.15,34.98,-48.86,-34.61,14.25,713
IBM,RF,2021-01-01,trail_only,0.12,-0.439,0.14,0.579,-30.83,3.74,34.57,-48.86,-33.36,15.5,719
IBM,RF,2021-01-01,trail_only,0.15,-0.439,0.224,0.663,-30.83,11.22,42.05,-48.86,-33.39,15.47,725
IBM,RF,2021-01-01,trail_only,0.2,-0.439,0.192,0.631,-30.83,8.28,39.11,-48.86,-32.9,15.96,727
